ActionsExecuted, UniqueStates
1,1
2,2
3,2
4,3
5,3
6,3
7,3
8,4
9,4
10,4
11,5
12,6
13,7
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,10
32,10
33,10
34,10
35,11
36,11
37,11
38,11
39,11
40,11
41,11
42,11
43,11
44,11
45,11
46,11
47,11
48,11
49,11
50,11
51,11
52,11
53,11
54,11
55,11
56,12
57,12
58,12
59,12
60,12
61,12
62,12
63,12
64,12
65,12
66,12
67,12
68,12
69,12
70,12
71,12
72,12
73,12
74,12
75,12
76,12
77,12
78,12
79,12
80,12
81,12
82,12
83,12
84,12
85,12
86,12
87,12
88,12
89,12
90,12
91,12
92,12
93,12
94,12
95,12
96,12
97,12
98,12
99,12
100,12
