ActionsExecuted, UniqueStates
1,1
2,1
3,1
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,3
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,6
44,7
45,7
46,7
47,7
48,7
49,7
50,7
51,7
52,7
53,7
54,7
55,7
56,7
57,7
58,7
59,7
60,7
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,7
70,7
71,7
72,7
73,7
74,7
75,7
76,7
77,7
78,7
79,7
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,7
89,7
90,7
91,7
92,8
93,8
94,9
95,10
96,10
97,10
98,10
99,10
100,10
